Date,Absence_Days,Safe_at_School,Gender,Language,Level,Open_Message,Absence_Pattern,Sleep_Quality,Reasons,Peers_Absent,Teacher_Support,Transport,Easy_Understand
"Apr 7, 12:00","3+","إه","ولد","ar","6","","الجمعة","إه","مشكل فالعائلة; مريض; عيان","لا","لا","على رجلي","إه"
"Apr 7, 11:58","0","إه","بنت","ar","6","","الاتنين","إه","مريض; ماكنفهمش الدروس; خايف; عيان","لا","إيه","على رجلي","لا"
"Apr 7, 11:57","3+","إه","ولد","ar","6","","مرة مرة وصافي","لا","مشكل فالنقل","إه","إيه","على رجلي","إه"
"Apr 7, 11:55","3+","إه","ولد","ar","6","شكرا","الاتنين","إه","عيان","إه","إيه","على رجلي","إه"
"Apr 7, 11:53","3+","لا","ولد","ar","6","كنغيب من اجل الكرة","الجمعة","إه","مريض","إه","إيه","على رجلي","شي مرات"
"Apr 7, 11:30","3+","إه","ولد","ar","3","","مرة مرة وصافي","إه","مريض; مشكل فالعائلة","إه","إيه","على رجلي","إه"
"Apr 7, 11:29","3+","إه","بنت","ar","1","","مرة مرة وصافي","إه","مريض; عيان","إه","إيه","على رجلي","شي مرات"
"Apr 7, 11:27","3+","إه","بنت","ar","1","","مرة مرة وصافي","إه","مشكل فالعائلة; مريض; ماكنفهمش الدروس","إه","إيه","على رجلي","لا"
"Apr 7, 11:11","3+","إه","ولد","ar","5","انا ديما مريضة","مرة مرة وصافي","إه","مريض; عيان; ماكنفهمش الدروس","إه","لا","على رجلي","لا"
"Apr 7, 11:03","3+","لا","بنت","ar","5","أنا أحبك يا المدرستي","مرة مرة وصافي","إه","مريض","إه","إيه","على رجلي","شي مرات"
"Apr 7, 11:01","3+","إه","بنت","ar","3","","مرة مرة وصافي","إه","مشكل فالعائلة; ماكنفهمش الدروس","إه","إيه","على رجلي","لا"
"Apr 7, 10:57","3+","إه","بنت","ar","3","كنغيب بدون قصد المرض كيجيني على غفلة","مرة مرة وصافي","لا","مريض; ماكنفهمش الدروس","إه","إيه","على رجلي","شي مرات"
"Apr 7, 10:53","3+","إه","ولد","ar","3","بغيت مدرسة فموزار","مرة مرة وصافي","إه","مريض; ماكنفهمش الدروس","إه","إيه","على رجلي","شي مرات"
"Apr 7, 10:50","1-2","إه","ولد","ar","2","كيعجبوني اصدقائي","الجمعة","إه","مشكل فالعائلة; خايف","إه","إيه","على رجلي","إه"
"Apr 7, 10:46","3+","إه", "بنت","ar","3","كنغيب بزاف","مرة مرة وصافي","لا","مشكل فالنقل; عيان; مشكل فالعائلة","إه","إيه","على رجلي","لا"
"Apr 7, 10:36","3+","إه"," ولد","ar","2","واخا","مرة مرة وصافي","إه","ماكنفهمش الدروس","إه","لا","على رجلي","لا"
"Apr 7, 10:33","3+","لا"," بنت","ar","4","","الاتنين","لا","ماكنفهمش الدروس","إه","إيه","فالنقل","شي مرات"
"Apr 7, 10:29","3+","إه"," بنت","ar","4","المدرسة جميل جدا","مرة مرة وصافي","إه","مشكل فالعائلة","إه","إيه","على رجلي","إه"
"Apr 7, 10:27","0","إه"," ولد","ar","4","انتعخنمدرصتخملت","الاتنين","إه","مشكل فالعائلة","إه","إيه","فالنقل","إه"
"Apr 7, 10:25","0","إه","ولد","ar","4","","الجمعة","إه","مشكل فالعائلة","إه","إيه","على رجلي","إه"
"Apr 7, 10:24","1-2","لا"," ولد","ar","4","كنبغي.المدرسة","مرة مرة وصافي","لا","مريض","إه","إيه","على رجلي","إه"
"Apr 7, 10:20","1-2","إه"," ولد","ar","4","عادي","مرة مرة وصافي","إه","مشكل فالعائلة","لا","إيه","على رجلي","إه"
"Apr 7, 10:19","1-2","لا"," بنت","ar","4","كنتمان متبقاش نغيب امين","مرة مرة وصافي","لا","مريض","إه","إيه","على رجلي","شي مرات"
"Apr 7, 10:16","3+","إه"," بنت","ar","4","","مرة مرة وصافي","إه","مشكل فالعائلة","إه","لا","على رجلي","لا"
"Apr 6, 19:18","3+","إه"," ولد","ar","4","كنتمنى نكون غني","مرة مرة وصافي","إه","مشكل فالعائلة","إه","لا","على رجلي","شي مرات"
"Apr 6, 16:27","3+","إه"," ولد","ar","3","بغيت نقرومكنقدرش","مرة مرة وصافي","إه","ماكنفهمش الدروس","إه","إيه","على رجلي","شي مرات"
"Apr 6, 16:14","0","لا"," بنت","ar","3","اكفخةثضبشوة","الجمعة","لا","ماكنفهمش الدروس","لا","لا","على رجلي","لا"
"Apr 6, 16:11","3+","إه"," بنت","ar","3","خحمتاجععغىثص","مرة مرة وصافي","إه","عيان","إه","إيه","على رجلي","شي مرات"
"Apr 6, 16:07","3+","إه"," ولد","ar","6","","الجمعة","إه","مريض","إه","إيه","على رجلي","إه"
"Apr 6, 16:04","0","إه"," بنت","ar","6","","مرة مرة وصافي","لا","مشكل فالعائلة","إه","إيه","على رجلي","شي مرات"
"Apr 6, 16:01","3+","لا"," ولد","ar","6","Chokran 3la","مرة مرة وصافي","لا","مشكل فالعائلة","إه","إيه","على رجلي","شي مرات"